x,y
6569.7,0.5488
6569.816666666667,0.5488
6569.933333333333,0.5472
6570.05,0.5488
6570.166666666667,0.5488
6570.283333333334,0.5504
6570.516666666666,0.5504
6570.633333333333,0.552
6570.75,0.552
6570.866666666667,0.5536
6571.1,0.5536
6571.333333333333,0.5568
6571.45,0.5568
6571.566666666667,0.5584
6571.683333333333,0.5584
6572.033333333334,0.5632
6572.15,0.5632
6572.383333333333,0.5664
6572.5,0.5664
6572.733333333334,0.5696
6572.85,0.5696
6572.966666666666,0.5712
6573.083333333333,0.5712
6573.2,0.5728
6573.316666666667,0.5728
6573.433333333333,0.5744
6573.783333333334,0.5744
6574.016666666666,0.5776
6574.483333333334,0.5776
6574.716666666666,0.5808
6574.833333333333,0.5808
6574.95,0.5824
6575.416666666667,0.5824
6575.65,0.5856
6576.116666666667,0.5856
6576.233333333334,0.5872
6576.466666666666,0.5872
6576.583333333333,0.5888
6576.816666666667,0.5888
6576.933333333333,0.5904
6577.166666666667,0.5904
6577.283333333334,0.592
6577.516666666666,0.592
6577.633333333333,0.5936
6577.75,0.5936
6577.983333333334,0.5968
6578.216666666666,0.5968
6578.333333333333,0.5984
6578.45,0.5984
6578.8,0.6032
6579.033333333334,0.6032
6579.15,0.6048
6579.266666666666,0.6048
6579.383333333333,0.6064
6579.5,0.6064
6579.733333333334,0.6096
6579.85,0.6096
6579.966666666666,0.6112
6580.083333333333,0.6112
6580.316666666667,0.6144
6580.433333333333,0.6144
6580.666666666667,0.6176
6580.783333333334,0.6176
6580.9,0.6192
6581.016666666666,0.6192
6581.133333333333,0.6208
6581.25,0.6208
6581.366666666667,0.6224
6581.483333333334,0.6224
6581.6,0.624
6581.716666666666,0.624
6581.833333333333,0.6256
6581.95,0.6256
6582.066666666667,0.6272
6582.183333333333,0.6272
6582.416666666667,0.6304
6582.65,0.6304
6582.766666666666,0.632
6582.883333333333,0.632
6583.0,0.6336
6583.233333333334,0.6336
6583.35,0.6352
6583.583333333333,0.6352
6583.7,0.6368
6583.933333333333,0.6368
6584.05,0.6384
6584.4,0.6384
6584.516666666666,0.64
6585.683333333333,0.64
6585.8,0.6416
6586.616666666667,0.6416
6586.733333333334,0.64
6588.016666666666,0.64
6588.133333333333,0.6384
6588.366666666667,0.6384
6588.483333333334,0.6368
6588.95,0.6368
6589.066666666667,0.6384
6589.416666666667,0.6384
6589.533333333334,0.6368
6589.766666666666,0.6368
6589.766666666666,0.6336
6589.533333333334,0.6336
6589.416666666667,0.6352
6588.833333333333,0.6352
6588.716666666666,0.6336
6588.6,0.6336
6588.483333333334,0.6352
6588.133333333333,0.6352
6588.016666666666,0.6368
6586.733333333334,0.6368
6586.616666666667,0.6384
6585.8,0.6384
6585.683333333333,0.6368
6584.516666666666,0.6368
6584.4,0.6352
6584.166666666667,0.6352
6584.05,0.6336
6583.7,0.6336
6583.583333333333,0.632
6583.35,0.632
6583.233333333334,0.6304
6583.116666666667,0.6304
6583.0,0.6288
6582.766666666666,0.6288
6582.65,0.6272
6582.533333333334,0.6272
6582.416666666667,0.6256
6582.3,0.6256
6582.183333333333,0.624
6582.066666666667,0.624
6581.95,0.6224
6581.833333333333,0.6224
6581.716666666666,0.6208
6581.6,0.6208
6581.483333333334,0.6192
6581.366666666667,0.6192
6581.25,0.6176
6581.133333333333,0.6176
6580.9,0.6144
6580.783333333334,0.6144
6580.55,0.6112
6580.433333333333,0.6112
6580.316666666667,0.6096
6580.2,0.6096
6579.966666666666,0.6064
6579.85,0.6064
6579.733333333334,0.6048
6579.616666666667,0.6048
6579.383333333333,0.6016
6579.15,0.6016
6579.033333333334,0.6
6578.916666666667,0.6
6578.566666666667,0.5952
6578.333333333333,0.5952
6578.216666666666,0.5936
6578.1,0.5936
6577.866666666667,0.5904
6577.633333333333,0.5904
6577.516666666666,0.5888
6577.283333333334,0.5888
6577.166666666667,0.5872
6576.933333333333,0.5872
6576.816666666667,0.5856
6576.583333333333,0.5856
6576.466666666666,0.584
6576.233333333334,0.584
6576.116666666667,0.5824
6575.766666666666,0.5824
6575.65,0.5808
6575.533333333334,0.5808
6575.416666666667,0.5792
6575.066666666667,0.5792
6574.95,0.5776
6574.833333333333,0.5776
6574.716666666666,0.576
6574.6,0.576
6574.483333333334,0.5744
6574.133333333333,0.5744
6574.016666666666,0.5728
6573.9,0.5728
6573.783333333334,0.5712
6573.55,0.5712
6573.433333333333,0.5696
6573.316666666667,0.5696
6573.2,0.568
6573.083333333333,0.568
6572.966666666666,0.5664
6572.85,0.5664
6572.616666666667,0.5632
6572.5,0.5632
6572.266666666666,0.56
6572.15,0.56
6571.8,0.5552
6571.683333333333,0.5552
6571.566666666667,0.5536
6571.45,0.5536
6571.333333333333,0.552
6571.216666666666,0.552
6571.1,0.5504
6570.983333333334,0.5504
6570.866666666667,0.5488
6570.633333333333,0.5488
6570.516666666666,0.5472
6570.4,0.5472
6570.283333333334,0.5456
6569.816666666667,0.5456
6569.7,0.544
6569.233333333334,0.544
6569.116666666667,0.5456
6568.3,0.5456
6568.066666666667,0.5488
6567.95,0.5488
6567.833333333333,0.5504
6567.6,0.5504
6567.366666666667,0.5536
6567.25,0.5536
6567.133333333333,0.5552
6567.016666666666,0.5552
6566.666666666667,0.56
6566.433333333333,0.56
6566.316666666667,0.5616
6566.083333333333,0.5616
6565.966666666666,0.5632
6565.85,0.5632
6565.733333333334,0.5648
6565.383333333333,0.5648
6565.266666666666,0.5664
6564.916666666667,0.5664
6564.8,0.5648
6564.683333333333,0.5648
6564.566666666667,0.5632
6564.45,0.5632
6564.216666666666,0.56
6564.1,0.56
6563.4,0.5504
6563.4,0.5488
6563.166666666667,0.5456
6563.166666666667,0.544
6562.933333333333,0.5408
6562.933333333333,0.5392
6562.7,0.536
6562.7,0.5344
6562.466666666666,0.5312
6562.466666666666,0.5296
6562.35,0.528
6562.35,0.5264
6562.233333333334,0.5248
6562.233333333334,0.5232
6562.116666666667,0.5216
6562.116666666667,0.52
6562.0,0.5184
6562.0,0.5152
6561.883333333333,0.5136
6561.883333333333,0.5104
6561.766666666666,0.5088
6561.766666666666,0.5072
6561.65,0.5056
6561.65,0.504
6561.533333333334,0.5024
6561.533333333334,0.5008
6561.416666666667,0.4992
6561.416666666667,0.496
6561.3,0.4944
6561.3,0.4912
6561.183333333333,0.4896
6561.183333333333,0.4864
6561.066666666667,0.4848
6561.066666666667,0.4816
6560.95,0.48
6560.95,0.4752
6560.833333333333,0.4736
6560.833333333333,0.472
6560.716666666666,0.4704
6560.716666666666,0.4672
6560.6,0.4656
6560.6,0.464
6560.483333333334,0.4624
6560.483333333334,0.4592
6560.366666666667,0.4576
6560.366666666667,0.4544
6560.25,0.4528
6560.25,0.4496
6560.133333333333,0.448
6560.133333333333,0.4448
6560.016666666666,0.4432
6560.016666666666,0.4416
6559.9,0.44
6559.9,0.4368
6559.783333333334,0.4352
6559.783333333334,0.4336
